SteepestLocalSearch,132,169,188,6,147,10,133,90,191,51,121,112,19,131,122,107,40,100,63,102,32,135,38,27,16,1,24,156,198,117,54,31,193,136,80,190,78,175,142,45,5,177,36,61,141,21,87,82,8,104,144,111,77,81,153,163,103,113,176,194,166,86,185,179,94,47,148,60,20,28,149,4,140,183,152,34,55,18,62,124,106,159,143,35,109,0,29,33,138,182,11,139,168,195,126,13,145,15,3,70
steepestLocalSearchCandidate,138,182,139,43,195,15,109,29,0,35,143,18,62,124,106,159,153,163,103,176,113,194,166,86,185,179,94,66,154,60,47,148,20,59,28,101,149,4,140,183,95,55,34,152,170,184,155,3,145,13,168,126,132,161,70,188,169,6,147,10,133,122,90,51,121,131,135,63,1,156,198,117,54,73,31,193,136,80,190,175,78,142,5,36,61,177,8,56,33,104,21,141,77,81,82,111,144,160,49,11
