SteepestLocalSearch,54,177,184,35,84,4,112,127,123,149,162,59,118,51,176,80,151,133,79,63,154,70,135,180,53,26,152,94,97,1,101,86,75,2,120,44,25,16,171,175,113,56,31,157,81,196,179,145,78,129,92,57,55,52,106,178,3,49,14,138,185,119,40,165,90,164,7,21,144,62,9,148,186,137,23,89,183,143,117,93,140,108,69,18,22,146,159,193,41,139,115,116,65,47,43,42,181,34,160,48
steepestLocalSearchCandidate,18,41,193,5,43,116,65,149,112,84,35,184,42,181,146,159,195,22,34,160,54,177,10,4,123,162,133,94,124,26,86,100,101,1,75,120,25,44,129,16,175,31,171,113,56,145,78,196,81,40,165,90,164,21,144,148,89,183,137,186,15,62,9,49,14,185,106,178,3,55,52,179,57,92,2,152,97,53,154,180,70,135,79,63,80,176,151,51,59,118,0,117,143,68,46,198,115,139,108,69
