Min Steepest Local_inter,Max Steepest Local_inter,Avg Steepest Local_inter,Min Greedy Local_inter,Max Greedy Local_inter,Avg Greedy Local_inter,Min Steepest Local_inter_rand,Max Steepest Local_inter_rand,Avg Steepest Local_inter_rand,Min Greedy Local_inter_rand,Max Greedy Local_inter_rand,Avg Greedy Local_inter_rand,Min Steepest Local_intra,Max Steepest Local_intra,Avg Steepest Local_intra,Min Greedy Local_intra,Max Greedy Local_intra,Avg Greedy Local_intra,Min Steepest Local_intra_rand,Max Steepest Local_intra_rand,Avg Steepest Local_intra_rand,Min Greedy Local_intra_rand,Max Greedy Local_intra_rand,Avg Greedy Local_intra_rand
46335.0,56389.0,50281.64,46335.0,54102.0,50385.055,47190.0,55851.0,50374.52,47177.0,58602.0,52061.835,46598.0,57084.0,50481.12,47370.0,58139.0,52133.165,63806.0,84143.0,74263.395,52315.0,66539.0,58420.66
70778.0,73000.0,71761.285,70631.0,73007.0,71868.935,72733.0,83859.0,77565.11,76588.0,93465.0,83700.275,71148.0,73343.0,72158.245,71148.0,79878.0,73176.295,94588.0,118294.0,106222.365,84161.0,103850.0,92890.2
70683.0,72797.0,71773.65,70738.0,73232.0,71869.76,72374.0,85725.0,78078.205,76940.0,91292.0,83712.225,71148.0,73366.0,72146.395,70735.0,74087.0,72007.005,90989.0,113993.0,102347.645,85152.0,104023.0,94942.26
70626.0,73119.0,71748.5,70626.0,73099.0,71865.545,72445.0,84826.0,77864.83,76701.0,90885.0,83178.425,71148.0,73366.0,72131.655,71031.0,73536.0,72031.17,86574.0,116678.0,102055.08,84504.0,105408.0,94786.575
