Min Steepest Local_inter,Max Steepest Local_inter,Avg Steepest Local_inter,Min Greedy Local_inter,Max Greedy Local_inter,Avg Greedy Local_inter,Min Steepest Local_inter_rand,Max Steepest Local_inter_rand,Avg Steepest Local_inter_rand,Min Greedy Local_inter_rand,Max Greedy Local_inter_rand,Avg Greedy Local_inter_rand,Min Steepest Local_intra,Max Steepest Local_intra,Avg Steepest Local_intra,Min Greedy Local_intra,Max Greedy Local_intra,Avg Greedy Local_intra,Min Steepest Local_intra_rand,Max Steepest Local_intra_rand,Avg Steepest Local_intra_rand,Min Greedy Local_intra_rand,Max Greedy Local_intra_rand,Avg Greedy Local_intra_rand
71738.0,74764.0,72902.595,175724.0,229848.0,207719.285,183765.0,286832.0,244388.91,234180.0,293166.0,266202.48,71108.0,73416.0,72117.725,83106.0,99252.0,89762.215,154800.0,260366.0,222811.645,136969.0,167932.0,151362.8
47876.0,57822.0,52061.835,143258.0,198803.0,176505.46,155584.0,228020.0,204226.525,188199.0,235403.0,213565.84,46960.0,56747.0,51010.11,56245.0,75933.0,67321.585,136499.0,203499.0,177572.01,89994.0,119037.0,102132.77
47876.0,57822.0,52061.835,147425.0,195766.0,177081.82,175426.0,229410.0,204289.795,193057.0,238784.0,215006.245,46960.0,56747.0,51010.11,57678.0,75157.0,67108.165,132869.0,210501.0,177484.585,90857.0,114500.0,101913.135
