dataset,Min Steepest Local_inter,Max Steepest Local_inter,Avg Steepest Local_inter,Min Greedy Local_inter,Max Greedy Local_inter,Avg Greedy Local_inter,Min Steepest Local_inter_rand,Max Steepest Local_inter_rand,Avg Steepest Local_inter_rand,Min Greedy Local_inter_rand,Max Greedy Local_inter_rand,Avg Greedy Local_inter_rand,Min Steepest Local_intra,Max Steepest Local_intra,Avg Steepest Local_intra,Min Greedy Local_intra,Max Greedy Local_intra,Avg Greedy Local_intra,Min Steepest Local_intra_rand,Max Steepest Local_intra_rand,Avg Steepest Local_intra_rand,Min Greedy Local_intra_rand,Max Greedy Local_intra_rand,Avg Greedy Local_intra_rand
A,70831,73007,71769.735,70716,73062,71838.31,72628,85308,77779.16,76794,92271,83573.885,71148,73395,72153.85,71148,79775,73289.355,93613,118585,105994.36,85134,107371,92733.64
B,45867,56739,50264.485,46367,56870,50405.995,46743,54459,50265.38,47775,58868,52198.86,46598,57084,50493.48,47381,58419,52144.64,65167,84218,74447.95,52542,67982,58110.425
